"행정구역","2025년01월_계_총인구수","2025년01월_계_연령구간인구수","2025년01월_계_0~9세","2025년01월_계_10~19세","2025년01월_계_20~29세","2025년01월_계_30~39세","2025년01월_계_40~49세","2025년01월_계_50~59세","2025년01월_계_60~69세","2025년01월_계_70~79세","2025년01월_계_80~89세","2025년01월_계_90~99세","2025년01월_계_100세 이상"
"서울특별시 노원구 월계1동(1135056000)","20,270","20,270","802","1,458","3,502","2,334","2,697","3,281","3,107","2,044","934","107","4"
"서울특별시 노원구 월계2동(1135057000)","25,145","25,145","1,246","1,838","2,598","2,739","3,625","4,285","4,445","2,890","1,255","217","7"
"서울특별시 노원구 월계3동(1135058000)","28,192","28,192","1,593","1,800","2,995","4,225","3,958","4,488","4,554","2,978","1,383","213","5"
"서울특별시 노원구 공릉1동(1135059500)","35,452","35,452","1,287","2,324","6,547","4,836","4,778","5,410","5,451","3,224","1,402","184","9"
"서울특별시 노원구 공릉2동(1135060000)","41,250","41,250","2,726","4,022","6,817","5,468","6,368","6,492","5,225","2,741","1,213","176","2"
"서울특별시 노원구 하계1동(1135061100)","25,521","25,521","825","2,541","4,442","2,626","3,061","4,729","3,942","2,117","1,048","181","9"
"서울특별시 노원구 하계2동(1135061200)","20,825","20,825","1,121","2,363","2,427","2,417","3,281","3,775","2,975","1,534","812","120","0"
"서울특별시 노원구 중계본동(1135061900)","22,542","22,542","1,069","4,090","2,828","1,637","4,034","4,586","2,600","1,043","558","95","2"
"서울특별시 노원구 중계1동(1135062100)","26,151","26,151","1,624","5,167","2,658","1,801","5,591","4,975","2,567","1,100","578","88","2"
"서울특별시 노원구 중계4동(1135062400)","18,845","18,845","810","1,861","2,188","1,763","2,686","3,651","2,806","1,940","983","154","3"
"서울특별시 노원구 중계2.3동(1135062500)","31,687","31,687","1,366","2,477","3,455","3,874","4,412","5,517","4,970","3,434","1,891","287","4"
"서울특별시 노원구 상계1동(1135063000)","36,389","36,389","1,645","2,801","4,358","4,334","4,837","6,581","6,534","3,461","1,601","231","6"
"서울특별시 노원구 상계2동(1135064000)","18,817","18,817","616","1,499","2,748","2,143","2,389","3,657","3,214","1,632","793","122","4"
"서울특별시 노원구 상계3.4동(1135066500)","27,097","27,097","1,333","2,052","2,978","2,764","3,647","4,991","4,733","2,893","1,540","159","7"
"서울특별시 노원구 상계5동(1135067000)","22,518","22,518","722","1,579","2,720","2,560","2,790","4,301","3,956","2,407","1,271","204","8"
"서울특별시 노원구 상계6.7동(1135069500)","30,941","30,941","1,715","2,484","3,863","4,813","4,511","5,448","4,401","2,326","1,141","233","6"
"서울특별시 노원구 상계8동(1135070000)","21,553","21,553","1,807","1,648","2,246","4,800","3,468","3,065","2,338","1,419","641","119","2"
"서울특별시 노원구 상계9동(1135071000)","19,235","19,235","923","1,627","2,268","2,635","2,820","3,501","2,849","1,681","775","152","4"
"서울특별시 노원구 상계10동(1135072000)","17,877","17,877","1,097","1,443","2,146","2,826","2,723","3,111","2,569","1,285","565","107","5"
"서울특별시 은평구 (1138000000)","460,738","460,738","21,881","34,262","59,062","66,405","66,960","77,662","69,428","41,707","20,695","2,604","72"
"서울특별시 은평구 녹번동(1138051000)","35,506","35,506","1,853","2,062","4,243","5,520","5,195","5,792","5,441","3,446","1,727","224","3"
"서울특별시 은평구 불광제1동(1138052000)","37,374","37,374","1,643","2,291","4,739","5,437","5,025","6,304","6,130","3,552","1,980","267","6"
"서울특별시 은평구 불광제2동(1138053000)","26,505","26,505","709","1,350","3,628","3,803","3,291","4,561","4,665","2,862","1,489","143","4"
"서울특별시 은평구 갈현제1동(1138055100)","14,169","14,169","405","901","1,987","2,065","1,839","2,426","2,373","1,425","657","88","3"
"서울특별시 은평구 갈현제2동(1138055200)","27,240","27,240","906","2,110","3,794","3,608","3,807","4,921","4,276","2,476","1,206","135","1"
"서울특별시 은평구 구산동(1138056000)","31,019","31,019","1,122","2,411","3,985","3,777","4,245","5,671","5,192","2,990","1,446","177","3"
